id,source,target,node_type,metric_type,entity_type,entity_code,tons,usd,edge_count
204,1011,1015,ss,tons,c,6,688036,NULL,45
205,1011,1033,ss,tons,c,6,144996,NULL,45
206,1011,1016,ss,tons,c,6,926618,NULL,45
207,1015,1033,ss,tons,c,6,130580,NULL,45
208,1015,1016,ss,tons,c,6,436854,NULL,45
209,1033,1016,ss,tons,c,6,168895,NULL,45
210,1014,1005,ss,tons,c,7,9170080,NULL,45
211,1014,1039,ss,tons,c,7,8875690,NULL,45
212,1014,1016,ss,tons,c,7,16535900,NULL,45
213,1014,1033,ss,tons,c,7,6163810,NULL,45
214,1014,1044,ss,tons,c,7,7371260,NULL,45
215,1014,1036,ss,tons,c,7,10004500,NULL,45
216,1014,1050,ss,tons,c,7,19548400,NULL,45
217,1014,1015,ss,tons,c,7,12519200,NULL,45
218,1014,1031,ss,tons,c,7,2518670,NULL,45
219,1005,1039,ss,tons,c,7,4897600,NULL,45
220,1005,1016,ss,tons,c,7,6820640,NULL,45
221,1005,1033,ss,tons,c,7,8785720,NULL,45
222,1005,1044,ss,tons,c,7,9075690,NULL,45
223,1005,1036,ss,tons,c,7,4981960,NULL,45
224,1005,1050,ss,tons,c,7,6439060,NULL,45
225,1005,1015,ss,tons,c,7,5432940,NULL,45
226,1005,1031,ss,tons,c,7,2311720,NULL,45
227,1039,1016,ss,tons,c,7,4560540,NULL,45
228,1039,1033,ss,tons,c,7,30396800,NULL,45
229,1039,1044,ss,tons,c,7,1399510,NULL,45
230,1039,1036,ss,tons,c,7,11716100,NULL,45
231,1039,1050,ss,tons,c,7,2948610,NULL,45
232,1039,1015,ss,tons,c,7,2284120,NULL,45
233,1039,1031,ss,tons,c,7,23829400,NULL,45
234,1016,1033,ss,tons,c,7,1949260,NULL,45
235,1016,1044,ss,tons,c,7,9611320,NULL,45
236,1016,1036,ss,tons,c,7,7317620,NULL,45
237,1016,1050,ss,tons,c,7,8958850,NULL,45
238,1016,1015,ss,tons,c,7,1285060,NULL,45
239,1016,1031,ss,tons,c,7,403836,NULL,45
240,1033,1044,ss,tons,c,7,3409280,NULL,45
241,1033,1036,ss,tons,c,7,4566260,NULL,45
242,1033,1050,ss,tons,c,7,2368520,NULL,45
243,1033,1015,ss,tons,c,7,1398970,NULL,45
244,1033,1031,ss,tons,c,7,21009300,NULL,45
245,1044,1036,ss,tons,c,7,2219620,NULL,45
246,1044,1050,ss,tons,c,7,3005380,NULL,45
247,1044,1015,ss,tons,c,7,2957760,NULL,45
248,1044,1031,ss,tons,c,7,1582550,NULL,45
249,1036,1050,ss,tons,c,7,3811000,NULL,45
250,1036,1015,ss,tons,c,7,15540300,NULL,45
251,1036,1031,ss,tons,c,7,1412310,NULL,45
252,1050,1015,ss,tons,c,7,3777410,NULL,45
253,1050,1031,ss,tons,c,7,1151810,NULL,45
254,1015,1031,ss,tons,c,7,922458,NULL,45
255,1005,1026,ss,tons,c,8,689841,NULL,44
256,1005,1014,ss,tons,c,8,3078610,NULL,44
257,1005,1011,ss,tons,c,8,759935,NULL,44
258,1005,1044,ss,tons,c,8,2107950,NULL,44
259,1005,1036,ss,tons,c,8,252154,NULL,44
260,1005,1010,ss,tons,c,8,1315040,NULL,44
261,1005,1006,ss,tons,c,8,1635380,NULL,44
262,1005,1033,ss,tons,c,8,754074,NULL,44
263,1005,1050,ss,tons,c,8,232772,NULL,44
264,1026,1014,ss,tons,c,8,5274260,NULL,44
265,1026,1011,ss,tons,c,8,170878,NULL,44
266,1026,1044,ss,tons,c,8,1754360,NULL,44
267,1026,1036,ss,tons,c,8,855714,NULL,44
268,1026,1010,ss,tons,c,8,213647,NULL,44
269,1026,1006,ss,tons,c,8,693320,NULL,44
270,1026,1033,ss,tons,c,8,175020,NULL,44
271,1026,1050,ss,tons,c,8,2295490,NULL,44
272,1014,1011,ss,tons,c,8,109001,NULL,44
273,1014,1044,ss,tons,c,8,464537,NULL,44
274,1014,1036,ss,tons,c,8,957118,NULL,44
275,1014,1010,ss,tons,c,8,400659,NULL,44
276,1014,1006,ss,tons,c,8,807177,NULL,44
277,1014,1033,ss,tons,c,8,347998,NULL,44
278,1014,1050,ss,tons,c,8,3465050,NULL,44
279,1011,1044,ss,tons,c,8,774338,NULL,44
280,1011,1036,ss,tons,c,8,454197,NULL,44
281,1011,1010,ss,tons,c,8,5521030,NULL,44
282,1011,1033,ss,tons,c,8,49010.5,NULL,44
283,1011,1050,ss,tons,c,8,228757,NULL,44
284,1044,1036,ss,tons,c,8,373606,NULL,44
285,1044,1010,ss,tons,c,8,1340820,NULL,44
286,1044,1006,ss,tons,c,8,1694560,NULL,44
287,1044,1033,ss,tons,c,8,276902,NULL,44
288,1044,1050,ss,tons,c,8,703679,NULL,44
289,1036,1010,ss,tons,c,8,116673,NULL,44
290,1036,1006,ss,tons,c,8,184487,NULL,44
291,1036,1033,ss,tons,c,8,1310140,NULL,44
292,1036,1050,ss,tons,c,8,880944,NULL,44
293,1010,1006,ss,tons,c,8,80461.2,NULL,44
294,1010,1033,ss,tons,c,8,585649,NULL,44
295,1010,1050,ss,tons,c,8,350832,NULL,44
296,1006,1033,ss,tons,c,8,72656.1,NULL,44
297,1006,1050,ss,tons,c,8,324560,NULL,44
298,1033,1050,ss,tons,c,8,92511.1,NULL,44
299,1039,1031,ss,tons,c,9,417941,NULL,33
300,1039,1034,ss,tons,c,9,132194,NULL,33
301,1039,1043,ss,tons,c,9,47698.1,NULL,33
302,1039,1033,ss,tons,c,9,87324.2,NULL,33
303,1039,1010,ss,tons,c,9,416271,NULL,33
304,1039,1047,ss,tons,c,9,530797,NULL,33
305,1039,1007,ss,tons,c,9,16098.6,NULL,33
306,1039,1044,ss,tons,c,9,28106.5,NULL,33
307,1039,1021,ss,tons,c,9,45096.6,NULL,33
308,1031,1033,ss,tons,c,9,649396,NULL,33
309,1031,1010,ss,tons,c,9,8901.95,NULL,33
310,1031,1047,ss,tons,c,9,85.656,NULL,33
311,1031,1007,ss,tons,c,9,331885,NULL,33
312,1031,1044,ss,tons,c,9,2199.6,NULL,33
313,1034,1043,ss,tons,c,9,663282,NULL,33
314,1034,1033,ss,tons,c,9,3846.57,NULL,33
315,1034,1010,ss,tons,c,9,36661.3,NULL,33
316,1034,1047,ss,tons,c,9,17055.8,NULL,33
317,1034,1007,ss,tons,c,9,9289.08,NULL,33
318,1034,1044,ss,tons,c,9,51058.9,NULL,33
319,1043,1033,ss,tons,c,9,63.119,NULL,33
320,1043,1010,ss,tons,c,9,2763.72,NULL,33
321,1043,1047,ss,tons,c,9,18626.5,NULL,33
322,1043,1044,ss,tons,c,9,72732.5,NULL,33
323,1033,1010,ss,tons,c,9,5330.16,NULL,33
324,1033,1047,ss,tons,c,9,1205.81,NULL,33
